"","x"
"1",1
"2",2
"3",3
"4",4
"5",5
"6",6
"7",7
"8",8
"9",9
"10",10
"11",11
"12",12
"13",13
"14",14
"15",15
"16",16
"17",17
"18",18
"19",19
"20",20
"21",21
"22",22
"23",23
"24",24
"25",1
"26",2
"27",3
"28",4
"29",5
"30",6
"31",7
"32",8
"33",9
"34",10
"35",11
"36",12
"37",13
"38",14
"39",15
"40",16
"41",17
"42",18
"43",19
"44",20
"45",21
"46",22
"47",23
"48",24
"49",1
"50",2
"51",3
"52",4
"53",5
"54",6
"55",7
"56",8
"57",9
"58",10
"59",11
"60",12
"61",13
"62",14
"63",15
"64",16
"65",17
"66",18
"67",19
"68",20
"69",21
"70",22
"71",23
"72",24
"73",1
"74",2
"75",3
"76",4
"77",5
"78",6
"79",7
"80",8
"81",9
"82",10
"83",11
"84",12
"85",13
"86",14
"87",15
"88",16
"89",17
"90",18
"91",19
"92",20
"93",21
"94",22
"95",23
"96",24
"97",1
"98",2
"99",3
"100",4
"101",5
"102",6
"103",7
"104",8
"105",9
"106",10
"107",11
"108",12
"109",13
"110",14
"111",15
"112",16
"113",17
"114",18
"115",19
"116",20
"117",21
"118",22
"119",23
"120",24
"121",1
"122",2
"123",3
"124",4
"125",5
"126",6
"127",7
"128",8
"129",9
"130",10
"131",11
"132",12
"133",13
"134",14
"135",15
"136",16
"137",17
"138",18
"139",19
"140",20
"141",21
"142",22
"143",23
"144",24
"145",1
"146",2
"147",3
"148",4
"149",5
"150",6
"151",7
"152",8
"153",9
"154",10
"155",11
"156",12
"157",13
"158",14
"159",15
"160",16
"161",17
"162",18
"163",19
"164",20
"165",21
"166",22
"167",23
"168",24
"169",1
"170",2
"171",3
"172",4
"173",5
"174",6
"175",7
"176",8
"177",9
"178",10
"179",11
"180",12
"181",13
"182",14
"183",15
"184",16
"185",17
"186",18
"187",19
"188",20
"189",21
"190",22
"191",23
"192",24
"193",1
"194",2
"195",3
"196",4
"197",5
"198",6
"199",7
"200",8
"201",9
"202",10
"203",11
"204",12
"205",13
"206",14
"207",15
"208",16
"209",17
"210",18
"211",19
"212",20
"213",21
"214",22
"215",23
"216",24
"217",1
"218",2
"219",3
"220",4
"221",5
"222",6
"223",7
"224",8
"225",9
"226",10
"227",11
"228",12
"229",13
"230",14
"231",15
"232",16
"233",17
"234",18
"235",19
"236",20
"237",21
"238",22
"239",23
"240",24
"241",1
"242",2
"243",3
"244",4
"245",5
"246",6
"247",7
"248",8
"249",9
"250",10
"251",11
"252",12
"253",13
"254",14
"255",15
"256",16
"257",17
"258",18
"259",19
"260",20
"261",21
"262",22
"263",23
"264",24
"265",1
"266",2
"267",3
"268",4
"269",5
"270",6
"271",7
"272",8
"273",9
"274",10
"275",11
"276",12
"277",13
"278",14
"279",15
"280",16
"281",17
"282",18
"283",19
"284",20
"285",21
"286",22
"287",23
"288",24
"289",1
"290",2
"291",3
"292",4
"293",5
"294",6
"295",7
"296",8
"297",9
"298",10
"299",11
"300",12
"301",13
"302",14
"303",15
"304",16
"305",17
"306",18
"307",19
"308",20
"309",21
"310",22
"311",23
"312",24
"313",1
"314",2
"315",3
"316",4
"317",5
"318",6
"319",7
"320",8
"321",9
"322",10
"323",11
"324",12
"325",13
"326",14
"327",15
"328",16
"329",17
"330",18
"331",19
"332",20
"333",21
"334",22
"335",23
"336",24
"337",1
"338",2
"339",3
"340",4
"341",5
"342",6
"343",7
"344",8
"345",9
"346",10
"347",11
"348",12
"349",13
"350",14
"351",15
"352",16
"353",17
"354",18
"355",19
"356",20
"357",21
"358",22
"359",23
"360",24
"361",1
"362",2
"363",3
"364",4
"365",5
"366",6
"367",7
"368",8
"369",9
"370",10
"371",11
"372",12
"373",13
"374",14
"375",15
"376",16
"377",17
"378",18
"379",19
"380",20
"381",21
"382",22
"383",23
"384",24
"385",1
"386",2
"387",3
"388",4
"389",5
"390",6
"391",7
"392",8
"393",9
"394",10
"395",11
"396",12
"397",13
"398",14
"399",15
"400",16
"401",17
"402",18
"403",19
"404",20
"405",21
"406",22
"407",23
"408",24
"409",1
"410",2
"411",3
"412",4
"413",5
"414",6
"415",7
"416",8
"417",9
"418",10
"419",11
"420",12
"421",13
"422",14
"423",15
"424",16
"425",17
"426",18
"427",19
"428",20
"429",21
"430",22
"431",23
"432",24
"433",1
"434",2
"435",3
"436",4
"437",5
"438",6
"439",7
"440",8
"441",9
"442",10
"443",11
"444",12
"445",13
"446",14
"447",15
"448",16
"449",17
"450",18
"451",19
"452",20
